ban1,ban2,ban3,ban4,paddy
1077,1051,701,2903,1
1077,1034,654,2830,1
1074,1023,636,2977,1
1062,1031,656,3020,1
1060,1026,641,3007,1
1060,1026,641,3007,1
1062,1031,639,2938,1
1092,999,771,1720,1
1083,1054,695,2263,1
1079,1034,663,2160,1
1078,1053,673,2165,1
1076,1056,660,2211,1
1066,1045,652,2299,1
1063,1054,631,2598,1
1078,1045,611,2906,1
1062,1032,598,3100,1
1062,1032,598,3100,1
1055,1032,606,2881,1
1080,1054,639,2430,1
1093,1090,697,2321,1
1108,1082,693,2162,1
1103,1087,698,2166,1
1090,1088,690,2374,1
1100,1102,672,2492,1
1100,1103,702,2233,1
1089,1092,702,2215,1
1089,1092,702,2215,1
1121,1148,754,2912,1
1139,1140,797,2863,1
1112,1079,752,3038,1
1077,1051,701,2903,1
1077,1034,654,2830,1
1074,1023,636,2977,1
1062,1031,656,3020,1
1060,1026,641,3007,1
1060,1026,641,3007,1
1062,1031,639,2938,1
1072,1040,628,2842,1
1088,1032,733,1954,1
1071,1040,669,2132,1
1071,1050,672,2144,1
1076,1056,660,2211,1
1066,1045,652,2299,1
1063,1054,631,2598,1
1078,1045,611,2906,1
1062,1032,598,3100,1
1062,1032,598,3100,1
1055,1032,606,2881,1
1080,1054,639,2430,1
1093,1090,697,2321,1
1108,1082,693,2162,1
1103,1087,698,2166,1
1090,1088,690,2374,1
1100,1102,672,2492,1
1100,1103,702,2233,1
1089,1092,702,2215,1
1096,1060,714,3165,1
1065,1038,622,3206,1
1065,1038,622,3206,1
1059,1047,639,3040,1
1068,1029,627,3064,1
1082,1036,675,3025,1
1064,1032,646,2870,1
1055,1037,641,2910,1
1052,1029,638,3084,1
1068,1022,632,3077,1
1076,1025,637,2933,1
1076,1025,637,2933,1
1064,1024,621,2874,1
1074,1034,639,2731,1
1088,1032,733,1954,1
1071,1040,669,2132,1
1071,1050,672,2144,1
1075,1070,664,2313,1
1073,1069,657,2394,1
1072,1061,637,2448,1
1080,1058,621,2708,1
1052,1049,600,2972,1
1052,1049,600,2972,1
1064,1033,597,2979,1
1074,1036,633,2586,1
1088,1067,668,2266,1
1084,1073,687,2079,1
1087,1081,705,2200,1
1074,1075,661,2447,1
1084,1078,659,2567,1
1109,1082,726,2743,1
1066,1062,706,2758,1
1076,1065,683,2873,1
1081,1049,648,2986,1
1064,1043,664,3207,1
1066,1043,619,3302,1
1066,1043,619,3302,1
1065,1033,613,3195,1
1071,1042,632,3079,1
1088,1041,677,3041,1
1064,1033,647,2939,1
1058,1029,639,2932,1
1063,1031,636,3045,1
1065,1036,635,3063,1
1083,1048,669,2951,1
1069,1035,656,2727,1
1069,1035,656,2727,1
1075,1032,661,2589,1
1073,1063,669,2269,1
1068,1070,667,2165,1
1075,1059,665,2272,1
1074,1056,661,2274,1
1066,1039,651,2233,1
1071,1059,635,2427,1
1068,1043,611,2733,1
1068,1043,611,2733,1
1068,1028,604,2787,1
1059,1017,621,2733,1
1079,1063,667,2268,1
1078,1072,685,2132,1
1081,1073,697,2102,1
1066,1056,661,2320,1
1175,1122,878,2526,1
1110,1087,760,2741,1
1060,1036,648,2855,1
1077,1062,667,2880,1
1071,1084,684,2758,1
1074,1069,696,2755,1
1087,1053,671,2805,1
1077,1026,667,3136,1
1069,1033,648,3216,1
1069,1033,648,3216,1
1062,1015,619,3217,1
1055,1033,631,3032,1
1069,1048,668,3064,1
1091,1050,676,2990,1
1074,1030,642,2907,1
1069,1040,657,2854,1
1067,1040,668,2816,1
1081,1037,690,2742,1
1058,1025,677,2511,1
1058,1025,677,2511,1
1065,1003,654,2329,1
1087,1058,661,2375,1
1072,1061,667,2228,1
1076,1055,664,2196,1
1072,1051,662,2192,1
1073,1025,660,2040,1
1079,1027,653,2045,1
1061,1035,642,2310,1
1063,1040,625,2507,1
1063,1040,625,2507,1
1066,1033,615,2721,1
1077,1060,644,2431,1
1076,1060,653,2526,1
1083,1064,676,2172,1
1099,1061,731,2691,1
1068,1059,712,2652,1
1068,1059,712,2652,1
1084,1066,693,2740,1
1095,1054,699,2936,1
1076,1055,665,2887,1
1069,1054,650,2914,1
1091,1067,654,2905,1
1082,1072,678,2842,1
1084,1061,681,2793,1
1082,1038,659,2965,1
1072,1053,660,3146,1
1072,1053,660,3146,1
1059,1019,630,3242,1
1054,1037,618,3119,1
1081,1047,667,3099,1
1108,1065,704,2956,1
1083,1034,674,2804,1
1074,1026,673,2608,1
